date,value
2006-01-01,12.400000
2006-04-01,13.100000
2006-07-01,12.700000
2006-10-01,12.700000
2007-01-01,13.600000
2007-04-01,14.300000
2007-07-01,14.300000
2007-10-01,14.200000
2008-01-01,11.600000
2008-04-01,11.300000
2008-07-01,10.700000
2008-10-01,9.700000
2009-01-01,6.400000
2009-04-01,7.300000
2009-07-01,8.500000
2009-10-01,9.400000
2010-01-01,12.200000
2010-04-01,11.400000
2010-07-01,10.800000
2010-10-01,10.600000
2011-01-01,10.100000
2011-04-01,10.000000
2011-07-01,9.800000
2011-10-01,9.500000
2012-01-01,8.100000
2012-04-01,7.900000
2012-07-01,7.700000
2012-10-01,7.900000
2013-01-01,7.900000
2013-04-01,7.700000
2013-07-01,7.800000
2013-10-01,7.800000
2014-01-01,7.600000
2014-04-01,7.600000
2014-07-01,7.500000
2014-10-01,7.500000
2015-01-01,7.100000
2015-04-01,7.100000
2015-07-01,7.000000
2015-10-01,7.000000
2016-01-01,6.800000
2016-04-01,6.800000
2016-07-01,6.800000
2016-10-01,6.800000
2017-01-01,7.000000
2017-04-01,7.000000
2017-07-01,6.900000
2017-10-01,6.900000
2018-01-01,6.900000
2018-04-01,6.900000
2018-07-01,6.800000
2018-10-01,6.800000
2019-01-01,6.400000
2019-04-01,6.200000
2019-07-01,6.100000
2019-10-01,6.100000
2020-01-01,-6.800000
2020-04-01,-1.600000
2020-07-01,0.700000
2020-10-01,2.300000
2021-01-01,18.900000
2021-04-01,13.000000
2021-07-01,10.200000
2021-10-01,8.600000
2022-01-01,4.800000
2022-04-01,2.700000
2022-07-01,3.200000
2022-10-01,3.100000
2023-01-01,4.700000
2023-04-01,5.700000
2023-07-01,5.400000
2023-10-01,5.400000
2024-01-01,5.300000
2024-04-01,5.000000
2024-07-01,4.800000
2024-10-01,5.000000
2025-01-01,5.400000
2025-04-01,5.300000
2025-07-01,5.200000
2025-10-01,5.000000
2026-01-01,5.000000
2026-04-01,4.700000
