date,value
1971-04-02,7.330000
1971-04-09,7.310000
1971-04-16,7.310000
1971-04-23,7.310000
1971-04-30,7.290000
1971-05-07,7.380000
1971-05-14,7.420000
1971-05-21,7.440000
1971-05-28,7.460000
1971-06-04,7.520000
1971-06-11,7.520000
1971-06-18,7.540000
1971-06-25,7.540000
1971-07-02,7.540000
1971-07-09,7.540000
1971-07-16,7.600000
1971-07-23,7.650000
1971-07-30,7.690000
1971-08-06,7.660000
1971-08-13,7.730000
1971-08-20,7.710000
1971-08-27,7.690000
1971-09-03,7.710000
1971-09-10,7.670000
1971-09-17,7.700000
1971-09-24,7.670000
1971-10-01,7.670000
1971-10-08,7.630000
1971-10-15,7.630000
1971-10-22,7.580000
1971-10-29,7.630000
1971-11-05,7.590000
1971-11-12,7.560000
1971-11-19,7.540000
1971-11-26,7.510000
1971-12-03,7.490000
1971-12-10,7.470000
1971-12-17,7.480000
1971-12-24,7.480000
1971-12-31,7.480000
1972-01-07,7.460000
1972-01-14,7.460000
1972-01-21,7.430000
1972-01-28,7.400000
1972-02-04,7.350000
1972-02-11,7.330000
1972-02-18,7.310000
1972-02-25,7.310000
1972-03-03,7.320000
1972-03-10,7.320000
1972-03-17,7.310000
1972-03-24,7.310000
1972-03-31,7.230000
1972-04-07,7.250000
1972-04-14,7.290000
1972-04-21,7.290000
1972-04-28,7.330000
1972-05-05,7.330000
1972-05-12,7.380000
1972-05-19,7.380000
1972-05-26,7.400000
1972-06-02,7.360000
1972-06-09,7.380000
1972-06-16,7.380000
1972-06-23,7.360000
1972-06-30,7.380000
1972-07-07,7.380000
1972-07-14,7.400000
1972-07-21,7.400000
1972-07-28,7.400000
1972-08-04,7.350000
1972-08-11,7.410000
1972-08-18,7.420000
1972-08-25,7.420000
1972-09-01,7.420000
1972-09-08,7.420000
1972-09-15,7.420000
1972-09-22,7.410000
1972-09-29,7.430000
1972-10-06,7.410000
1972-10-13,7.410000
1972-10-20,7.440000
1972-10-27,7.420000
1972-11-03,7.430000
1972-11-10,7.420000
1972-11-17,7.420000
1972-11-24,7.440000
1972-12-01,7.450000
1972-12-08,7.430000
1972-12-15,7.430000
1972-12-22,7.450000
1972-12-29,7.450000
1973-01-05,7.440000
1973-01-12,7.440000
1973-01-19,7.440000
1973-01-26,7.430000
1973-02-02,7.430000
1973-02-09,7.430000
1973-02-16,7.450000
1973-02-23,7.450000
1973-03-02,7.450000
1973-03-09,7.450000
1973-03-16,7.450000
1973-03-23,7.450000
1973-03-30,7.490000
1973-04-06,7.510000
1973-04-13,7.540000
1973-04-20,7.560000
1973-04-27,7.560000
1973-05-04,7.580000
1973-05-11,7.640000
1973-05-18,7.690000
1973-05-24,7.700000
1973-06-01,7.700000
1973-06-08,7.730000
1973-06-15,7.730000
1973-06-22,7.750000
1973-06-29,7.760000
1973-07-06,7.890000
1973-07-13,8.010000
1973-07-20,8.120000
1973-07-27,8.180000
1973-08-03,8.260000
1973-08-10,8.400000
1973-08-17,8.550000
1973-08-24,8.610000
1973-08-31,8.660000
1973-09-07,8.770000
1973-09-14,8.810000
1973-09-21,8.830000
1973-09-28,8.850000
1973-10-05,8.820000
1973-10-12,8.830000
1973-10-19,8.750000
1973-10-26,8.680000
1973-11-02,8.620000
1973-11-09,8.590000
1973-11-16,8.580000
1973-11-23,8.570000
1973-11-30,8.550000
1973-12-07,8.530000
1973-12-14,8.530000
1973-12-21,8.530000
1973-12-28,8.560000
1974-01-04,8.560000
1974-01-11,8.530000
1974-01-18,8.550000
1974-01-25,8.520000
1974-02-01,8.480000
1974-02-08,8.460000
1974-02-15,8.460000
1974-02-22,8.420000
1974-03-01,8.410000
1974-03-08,8.410000
1974-03-15,8.400000
1974-03-22,8.400000
1974-03-29,8.410000
1974-04-05,8.440000
1974-04-12,8.530000
1974-04-19,8.630000
1974-04-26,8.730000
1974-05-03,8.870000
1974-05-10,8.980000
1974-05-17,8.970000
1974-05-24,9.010000
1974-05-31,9.030000
1974-06-07,9.060000
1974-06-14,9.110000
1974-06-21,9.070000
1974-06-28,9.100000
1974-07-05,9.140000
1974-07-12,9.190000
1974-07-19,9.370000
1974-07-26,9.420000
1974-08-02,9.470000
1974-08-09,9.500000
1974-08-16,9.600000
1974-08-23,9.620000
1974-08-30,9.740000
1974-09-06,9.880000
1974-09-13,9.920000
1974-09-20,10.000000
1974-09-27,10.030000
1974-10-04,10.020000
1974-10-11,9.960000
1974-10-18,9.990000
1974-10-25,9.940000
1974-11-01,9.870000
1974-11-08,9.810000
1974-11-15,9.810000
1974-11-22,9.730000
1974-11-29,9.720000
1974-12-06,9.690000
1974-12-13,9.630000
1974-12-20,9.580000
1974-12-27,9.560000
1975-01-03,9.600000
1975-01-10,9.490000
1975-01-17,9.430000
1975-01-24,9.350000
1975-01-31,9.290000
1975-02-07,9.200000
1975-02-14,9.130000
1975-02-21,9.070000
1975-02-28,9.020000
1975-03-07,9.000000
1975-03-14,8.890000
1975-03-21,8.860000
1975-03-28,8.860000
1975-04-04,8.830000
1975-04-11,8.810000
1975-04-18,8.800000
1975-04-25,8.840000
1975-05-02,8.920000
1975-05-09,8.880000
1975-05-16,8.920000
1975-05-23,8.920000
1975-05-30,8.890000
1975-06-06,8.890000
1975-06-13,8.900000
1975-06-20,8.880000
1975-06-27,8.900000
1975-07-03,8.880000
1975-07-11,8.900000
1975-07-18,8.890000
1975-07-25,8.890000
1975-08-01,8.890000
1975-08-08,8.890000
1975-08-15,8.930000
1975-08-22,8.980000
